0: [ 51.  101.1]
1: [334.  362.7]
2: [308.  364.6]
3: [317.  415.6]
4: [320.  423.6]
5: [306.  394.6]
6: [306.  381.6]
7: [308.  436.6]
8: [299.  370.6]
9: [370.  447.7]
10: [329.  433.6]
11: [315.  389.6]
12: [324.  407.6]
13: [298.  399.6]
14: [315.  430.6]
15: [321.  441.6]
16: [332.  414.6]
17: [308.  423.6]
18: [342.  403.7]
19: [331.  425.6]
20: [297.  389.6]
21: [341.  385.7]
22: [354.  467.7]
23: [370.  367.7]
24: [328.  377.6]
25: [334.  442.7]
26: [329.  391.6]
27: [318.  377.6]
28: [352.  445.7]
29: [264.  352.5]
30: [350.  361.7]
31: [294.  378.6]
32: [363.  379.7]
33: [330.  351.6]
34: [367.  427.7]
35: [361.  416.7]
36: [378.  389.7]
37: [357.  396.7]
38: [287.  384.6]
39: [294.  337.6]
40: [297.  360.6]
41: [340.  354.7]
42: [316.  367.6]
43: [302.  339.6]
44: [325.  337.6]
45: [346.  459.7]
46: [288.  369.6]
47: [360.  437.7]
48: [334.  328.7]
49: [368.  391.7]
50: [282.   39.6]
51: [261.  325.5]
52: [375.  438.7]
53: [334.  340.7]
54: [287.  339.6]
55: [360.  364.7]
56: [388.  392.8]
57: [262.  342.5]
58: [282.  347.6]
59: [338.  371.7]
60: [350.  414.7]
61: [324.  453.6]
62: [362.  455.7]
63: [277.  359.5]
64: [377.  323.7]
65: [385.  334.8]
66: [293.  350.6]
67: [370.  407.7]
68: [322.  362.6]
69: [342.  423.7]
70: [349.  432.7]
71: [255.  339.5]
72: [399.  383.8]
73: [381.  375.7]
74: [379.  417.7]
75: [334.  454.7]
76: [278.  336.5]
77: [271.  343.5]
78: [313.  348.6]
79: [351.  374.7]
80: [312.  403.6]
81: [441.  365.9]
82: [437.  393.9]
83: [420.  326.8]
84: [468.  393.9]
85: [397.  114.8]
86: [450.  175.9]
87: [291.  318.6]
88: [429.  364.8]
89: [434.  235.8]
90: [239.  302.5]
91: [274.  212.5]
92: [234.  290.5]
93: [413.  476.8]
94: [299.   46.6]
95: [464.  375.9]
96: [311.  282.6]
97: [332.  299.6]
98: [417.  353.8]
99: [488. 338.]
100: [252.  428.5]
101: [317.  276.6]
102: [231.  360.5]
103: [318.  461.6]
104: [253.  442.5]
105: [277.  390.5]
106: [246.  336.5]
107: [276.  204.5]
108: [273.  254.5]
109: [247.  206.5]
110: [284.  208.6]
111: [329.  506.6]
112: [383.  500.7]
113: [90.  55.2]
114: [56.  32.1]
115: [286.  171.6]
116: [399.  499.8]
117: [300.  309.6]
118: [264.   70.5]
119: [451.  338.9]
120: [ 58.  477.1]
121: [496.  88.]
122: [345.  287.7]
123: [279.   17.5]
124: [272.  193.5]
125: [405.  471.8]
126: [258.  266.5]
127: [ 29.  492.1]
128: [71.  31.1]
129: [294.  216.6]
130: [439.  408.9]
131: [213.  325.4]
132: [399.   34.8]
133: [379.  225.7]
134: [493. 435.]
135: [445.  453.9]
136: [322.  297.6]
137: [272.  458.5]
138: [253.  397.5]
139: [359.  350.7]
140: [273.  371.5]
141: [281.  249.5]
142: [153.   60.3]
143: [294.   74.6]
144: [328.  261.6]
145: [423.  442.8]
146: [180.  238.4]
147: [265.  102.5]
148: [ 22. 498.]
149: [206.  303.4]
150: [238.  201.5]
151: [357.  104.7]
152: [429.  466.8]
153: [274.  271.5]
154: [481.  419.9]
155: [103.   99.2]
156: [144.  234.3]
157: [248.  140.5]
158: [296.  225.6]
159: [223.  116.4]
160: [19. 28.]
161: [453.  446.9]
162: [177.  270.3]
163: [ 71.  114.1]
164: [107.  504.2]
165: [198.  219.4]
166: [465.   28.9]
167: [350.  112.7]
168: [258.  288.5]
169: [161.  242.3]
170: [ 50.  417.1]
171: [210.  282.4]
172: [480.  157.9]
173: [226.  318.4]
174: [204.  282.4]
175: [505.   6.]
176: [156.   83.3]
177: [198.  271.4]
178: [426.  484.8]
179: [226.  262.4]
180: [204.   46.4]
181: [204.   96.4]
182: [275.  167.5]
183: [506. 446.]
184: [73.  66.1]
185: [252.   61.5]
186: [420.  458.8]
187: [ 25. 466.]
188: [212.  498.4]
189: [196.   47.4]
190: [165.  207.3]
191: [35.  24.1]
192: [452.   64.9]
193: [206.   90.4]
194: [351.  498.7]
195: [418.  109.8]
196: [489. 470.]
197: [204.  270.4]
198: [171.  242.3]
199: [298.  206.6]
200: [337.  249.7]
201: [ 23. 312.]
202: [367.  105.7]
203: [380.  211.7]
204: [196.  211.4]
205: [28.   1.1]
206: [278.  283.5]
207: [236.  181.5]
208: [281.  188.5]
209: [394.   20.8]
210: [  1. 309.]
211: [212.  197.4]
212: [178.  163.3]
213: [388.   50.8]
214: [277.  505.5]
215: [217.  278.4]
216: [503. 463.]
217: [248.  300.5]
218: [201.  230.4]
219: [ 76.  104.1]
220: [240.  136.5]
221: [179.  340.3]
222: [127.  120.2]
223: [ 27.  447.1]
224: [16. 43.]
225: [148.  248.3]
226: [139.  150.3]
227: [236.  210.5]
228: [256.  278.5]
229: [495.  63.]
230: [418.  176.8]
231: [409.   10.8]
232: [ 65.  493.1]
233: [129.   85.3]
234: [ 30.  354.1]
235: [ 32.  433.1]
236: [210.  257.4]
237: [155.   27.3]
238: [482.  477.9]
239: [ 49.  174.1]
240: [116.   29.2]
241: [487. 498.]
242: [508. 412.]
243: [298.  258.6]
244: [416.   89.8]
245: [474.  309.9]
246: [491. 483.]
247: [386.  273.8]
248: [209.  380.4]
249: [202.  321.4]
250: [153.  151.3]
251: [ 0. 51.]
252: [154.  126.3]
253: [80.  95.2]
254: [122.  134.2]
255: [ 5. 41.]
256: [210.  269.4]
257: [ 2. 34.]
258: [464.   13.9]
259: [449.  473.9]
260: [132.  134.3]
261: [142.  490.3]
262: [324.  159.6]
263: [176.   64.3]
264: [311.  231.6]
265: [196.  246.4]
266: [163.  130.3]
267: [ 61.  188.1]
268: [ 71.  454.1]
269: [207.  224.4]
270: [140.   11.3]
271: [188.  237.4]
272: [193.  327.4]
273: [179.  250.3]
274: [115.  486.2]
275: [133.  228.3]
276: [140.  194.3]
277: [467.  489.9]
278: [177.  258.3]
279: [476.  503.9]
280: [475.  110.9]
281: [196.  254.4]
282: [124.  490.2]
283: [216.  185.4]
284: [190.  296.4]
285: [413.    0.8]
286: [486.  489.9]
287: [316.  222.6]
288: [144.  477.3]
289: [ 36.  390.1]
290: [184.  323.4]
291: [190.  313.4]
292: [459.   76.9]
293: [170.  181.3]
294: [445.  438.9]
295: [505. 496.]
296: [217.  473.4]
297: [346.  196.7]
298: [210.   83.4]
299: [222.  175.4]
300: [320.  174.6]
301: [168.   47.3]
302: [ 34.  381.1]
303: [496. 125.]
304: [202.  339.4]
305: [501.  12.]
306: [462.  116.9]
307: [421.  477.8]
308: [226.  231.4]
309: [193.  282.4]
310: [ 30.  426.1]
311: [509. 459.]
312: [251.  293.5]
313: [432.    5.8]
314: [353.  250.7]
315: [202.  290.4]
316: [ 38.  407.1]
317: [88.  44.2]
318: [406.  136.8]
319: [205.   75.4]
320: [355.  204.7]
321: [244.  152.5]
322: [490. 427.]
323: [ 40.  401.1]
324: [ 40.  418.1]
325: [192.  273.4]
326: [171.  171.3]
327: [445.    1.9]
328: [442.   80.9]
329: [360.  144.7]
330: [179.   11.3]
331: [ 0. 86.]
332: [434.   53.8]
333: [179.  459.3]
334: [249.  280.5]
335: [214.  247.4]
336: [474.   24.9]
337: [487. 118.]
338: [48.  13.1]
339: [231.  223.5]
340: [223.  333.4]
341: [435.   73.8]
342: [498. 422.]
343: [406.   25.8]
344: [ 25. 436.]
345: [163.  162.3]
346: [451.  316.9]
347: [250.  156.5]
348: [459.  438.9]
349: [484.  212.9]
350: [497. 467.]
351: [329.  282.6]
352: [392.   63.8]
353: [225.  255.4]
354: [259.  214.5]
355: [ 14. 347.]
356: [436.  453.9]
357: [493. 476.]
358: [140.   61.3]
359: [164.  219.3]
360: [ 25. 346.]
361: [486.  464.9]
362: [178.  110.3]
363: [213.  288.4]
364: [208.  316.4]
365: [ 26.  284.1]
366: [14. 34.]
367: [178.  435.3]
368: [509. 428.]
369: [434.  441.8]
370: [341.  260.7]
371: [272.  298.5]
372: [157.  205.3]
373: [483.   99.9]
374: [204.  104.4]
375: [171.   69.3]
376: [450.   25.9]
377: [501. 431.]
378: [411.  187.8]
379: [505.  61.]
380: [143.  158.3]
381: [220.  198.4]
382: [246.   70.5]
383: [473.  254.9]
384: [219.  428.4]
385: [  4. 425.]
386: [511. 439.]
387: [190.   68.4]
388: [365.   89.7]
389: [294.  143.6]
390: [501. 479.]
391: [251.  191.5]
392: [208.  295.4]
393: [141.   40.3]
