0: [294.  282.6]
1: [438.  100.9]
2: [464.   86.9]
3: [441.   36.9]
4: [439.   25.9]
5: [449.   58.9]
6: [452.   69.9]
7: [457.   24.9]
8: [475.   81.9]
9: [438.  497.9]
10: [439.   14.9]
11: [441.   64.9]
12: [431.   41.8]
13: [455.   50.9]
14: [447.   24.9]
15: [451.   14.9]
16: [431.   30.8]
17: [451.   33.9]
18: [420.   32.8]
19: [428.   17.8]
20: [459.   59.9]
21: [427.   69.8]
22: [455.  484.9]
23: [408.  104.8]
24: [436.   75.9]
25: [447.    5.9]
26: [429.   56.8]
27: [446.   77.9]
28: [438.  507.9]
29: [40.  68.1]
30: [426.  100.8]
31: [465.   73.9]
32: [418.   47.8]
33: [453.  108.9]
34: [425.  504.8]
35: [415.    4.8]
36: [400.   18.8]
37: [408.   37.8]
38: [469.   64.9]
39: [23. 56.]
40: [486.   85.9]
41: [438.  112.9]
42: [454.   85.9]
43: [10. 62.]
44: [473.  107.9]
45: [461.  494.9]
46: [482.   70.9]
47: [428.    3.8]
48: [482.  115.9]
49: [396.   32.8]
50: [343.  449.7]
51: [119.   76.2]
52: [430.  491.8]
53: [463.  116.9]
54: [21. 66.]
55: [416.   91.8]
56: [397.    6.8]
57: [41.  78.1]
58: [15. 75.]
59: [432.   87.8]
60: [414.   18.8]
61: [463.  508.9]
62: [448.  493.9]
63: [498.  99.]
64: [422.  114.8]
65: [375.   27.7]
66: [488. 105.]
67: [405.  506.8]
68: [447.   93.9]
69: [465.   18.9]
70: [466.    6.9]
71: [49.  71.1]
72: [390.  508.8]
73: [386.   19.8]
74: [416.  494.8]
75: [453.  504.9]
76: [33.  61.1]
77: [28.  75.1]
78: [473.   93.9]
79: [419.   78.8]
80: [442.   48.9]
81: [453.  402.9]
82: [457.  429.9]
83: [351.  471.7]
84: [495. 423.]
85: [444.  231.9]
86: [430.  216.8]
87: [35.  86.1]
88: [445.  446.9]
89: [459.  176.9]
90: [129.   77.3]
91: [148.  139.3]
92: [138.   80.3]
93: [ 54.  296.1]
94: [353.  425.7]
95: [483.  422.9]
96: [ 68.  114.1]
97: [ 15. 116.]
98: [372.  480.7]
99: [498. 476.]
100: [503.  53.]
101: [ 76.  119.1]
102: [69.  57.1]
103: [471.  500.9]
104: [498.  32.]
105: [478.   54.9]
106: [102.   53.2]
107: [158.  143.3]
108: [ 82.  108.2]
109: [189.  135.4]
110: [151.  146.3]
111: [429.  453.8]
112: [444.  329.9]
113: [329.  272.6]
114: [179.  332.3]
115: [162.  173.3]
116: [  3. 270.]
117: [31.  98.1]
118: [445.  177.9]
119: [439.  454.9]
120: [124.  350.2]
121: [145.  284.3]
122: [ 25. 140.]
123: [360.  460.7]
124: [170.  151.3]
125: [458.  345.9]
126: [115.  100.2]
127: [ 94.  310.2]
128: [213.  336.4]
129: [139.  138.3]
130: [469.  373.9]
131: [126.   40.2]
132: [430.  288.8]
133: [ 20. 168.]
134: [ 50.  423.1]
135: [493. 347.]
136: [ 24. 115.]
137: [496.  18.]
138: [496.  71.]
139: [416.   63.8]
140: [510.  96.]
141: [ 86.  118.2]
142: [197.  243.4]
143: [465.  194.9]
144: [ 48.  121.1]
145: [458.  369.9]
146: [172.  120.3]
147: [151.  204.3]
148: [ 83.  306.2]
149: [145.   52.3]
150: [204.  136.4]
151: [453.  213.9]
152: [476.  337.9]
153: [ 94.  102.2]
154: [511. 388.]
155: [357.  210.7]
156: [239.   36.5]
157: [324.   84.6]
158: [130.  138.3]
159: [297.   15.6]
160: [ 41.  262.1]
161: [509. 357.]
162: [200.   53.4]
163: [322.  244.6]
164: [217.  349.4]
165: [227.  107.4]
166: [ 77.  272.2]
167: [454.  200.9]
168: [98.  94.2]
169: [238.   59.5]
170: [ 89.  378.2]
171: [156.   71.3]
172: [394.  249.8]
173: [122.   58.2]
174: [163.   73.3]
175: [ 35.  298.1]
176: [217.  234.4]
177: [191.   72.4]
178: [474.  327.9]
179: [158.   95.3]
180: [403.  168.8]
181: [338.  133.7]
182: [171.  170.3]
183: [ 53.  416.1]
184: [326.  298.6]
185: [430.  162.8]
186: [485.  354.9]
187: [ 49.  339.1]
188: [477.  220.9]
189: [393.  172.8]
190: [269.   68.5]
191: [167.  336.3]
192: [ 10. 249.]
193: [349.  135.7]
194: [423.  403.8]
195: [ 54.  223.1]
196: [ 19. 345.]
197: [182.   73.4]
198: [231.   70.5]
199: [140.  148.3]
200: [ 80.  147.2]
201: [448.  378.9]
202: [443.  218.9]
203: [ 45.  171.1]
204: [234.  114.5]
205: [145.  353.3]
206: [103.  105.2]
207: [222.  153.4]
208: [156.  159.3]
209: [432.  299.8]
210: [ 39.  466.1]
211: [235.  133.5]
212: [282.   41.6]
213: [440.  271.9]
214: [ 21. 505.]
215: [155.   80.3]
216: [ 13. 364.]
217: [98.  78.2]
218: [218.   94.4]
219: [327.  256.6]
220: [199.  192.4]
221: [116.   15.2]
222: [254.  464.5]
223: [ 63.  356.1]
224: [125.  284.2]
225: [228.   37.4]
226: [284.  178.6]
227: [197.  128.4]
228: [123.   98.2]
229: [118.  277.2]
230: [ 30.  187.1]
231: [487. 276.]
232: [129.  334.3]
233: [383.  188.7]
234: [ 30.  441.1]
235: [ 74.  367.1]
236: [183.   86.4]
237: [179.  250.3]
238: [ 17. 329.]
239: [277.  257.5]
240: [236.  410.5]
241: [ 28.  317.1]
242: [ 18. 390.]
243: [ 96.  128.2]
244: [ 33.  231.1]
245: [ 19. 482.]
246: [ 28.  328.1]
247: [486.  168.9]
248: [70.  24.1]
249: [142.   39.3]
250: [282.   12.6]
251: [153.  311.3]
252: [263.  214.5]
253: [339.  248.7]
254: [293.  210.6]
255: [128.  293.2]
256: [175.   80.3]
257: [109.  281.2]
258: [ 98.  285.2]
259: [494. 336.]
260: [277.  214.5]
261: [251.  389.5]
262: [135.  191.3]
263: [288.  462.6]
264: [115.  121.2]
265: [204.   89.4]
266: [255.  204.5]
267: [284.  242.6]
268: [108.  349.2]
269: [217.  104.4]
270: [257.  400.5]
271: [178.  114.3]
272: [128.   32.2]
273: [221.   71.4]
274: [210.  372.4]
275: [249.   24.5]
276: [283.  137.6]
277: [  5. 317.]
278: [211.   63.4]
279: [ 11. 310.]
280: [246.  377.5]
281: [212.   72.4]
282: [220.  379.4]
283: [245.  138.5]
284: [162.   45.3]
285: [492. 291.]
286: [ 22. 321.]
287: [116.  130.2]
288: [233.  388.5]
289: [ 64.  394.1]
290: [143.   25.3]
291: [148.   33.3]
292: [102.  263.2]
293: [294.   89.6]
294: [504. 373.]
295: [ 47.  311.1]
296: [ 46.  501.1]
297: [ 80.  159.2]
298: [295.  486.6]
299: [205.  164.4]
300: [135.  178.3]
301: [177.  233.3]
302: [ 69.  410.1]
303: [271.  356.5]
304: [108.   30.2]
305: [ 18. 293.]
306: [142.  266.3]
307: [ 61.  290.1]
308: [123.  116.2]
309: [179.   53.3]
310: [ 64.  382.1]
311: [ 27.  346.1]
312: [94.  86.2]
313: [ 57.  282.1]
314: [ 47.  132.1]
315: [160.   61.3]
316: [ 70.  387.1]
317: [238.  287.5]
318: [131.  224.3]
319: [362.  140.7]
320: [ 70.  163.1]
321: [200.  179.4]
322: [ 41.  427.1]
323: [ 78.  389.2]
324: [ 82.  374.2]
325: [185.   64.4]
326: [295.   63.6]
327: [ 67.  281.1]
328: [ 22. 235.]
329: [126.  208.2]
330: [275.  418.5]
331: [163.  295.3]
332: [ 21. 246.]
333: [504. 215.]
334: [129.   94.3]
335: [182.   96.4]
336: [ 90.  279.2]
337: [166.  282.3]
338: [152.  333.3]
339: [128.  124.2]
340: [110.   46.2]
341: [494. 247.]
342: [ 17. 377.]
343: [506. 268.]
344: [ 65.  365.1]
345: [294.   43.6]
346: [422.  379.8]
347: [197.  172.4]
348: [  1. 362.]
349: [ 19. 200.]
350: [  6. 353.]
351: [ 67.  134.1]
352: [388.  299.8]
353: [162.  101.3]
354: [171.  134.3]
355: [489. 432.]
356: [494. 356.]
357: [ 23. 337.]
358: [257.  437.5]
359: [257.   90.5]
360: [ 39.  443.1]
361: [ 12. 343.]
362: [222.  217.4]
363: [149.   68.3]
364: [135.   44.3]
365: [483.  258.9]
366: [ 42.  252.1]
367: [364.   58.7]
368: [ 24. 370.]
369: [501. 363.]
370: [  4. 138.]
371: [78.  79.2]
372: [276.   77.5]
373: [243.  360.5]
374: [290.  500.6]
375: [296.  469.6]
376: [ 55.  274.1]
377: [ 50.  409.1]
378: [ 20. 179.]
379: [141.  293.3]
380: [271.   15.5]
381: [227.  142.4]
382: [307.  490.6]
383: [482.  210.9]
384: [48.   2.1]
385: [ 33.  366.1]
386: [ 59.  371.1]
387: [365.  154.7]
388: [472.  229.9]
389: [152.  194.3]
390: [  2. 343.]
391: [194.  146.4]
392: [151.   59.3]
393: [202.  258.4]
394: [364.  269.7]
395: [ 50.  399.1]
396: [204.  118.4]
397: [ 35.  324.1]
398: [130.   60.3]
399: [181.  182.4]
400: [ 81.  294.2]
401: [306.   23.6]
402: [ 34.  409.1]
403: [  1. 374.]
404: [164.  162.3]
405: [139.   95.3]
406: [144.   87.3]
407: [ 57.  265.1]
408: [135.  210.3]
409: [ 39.  419.1]
410: [131.  150.3]
411: [148.  101.3]
412: [316.  494.6]
413: [503. 431.]
414: [161.  151.3]
415: [504. 407.]
416: [450.  390.9]
417: [462.  399.9]
418: [ 15. 355.]
419: [136.  158.3]
420: [205.  144.4]
421: [125.  107.2]
422: [204.  185.4]
423: [ 23. 436.]
424: [439.  204.9]
425: [343.  461.7]
426: [ 11. 434.]
427: [16. 25.]
428: [ 39.  394.1]
429: [ 16. 258.]
430: [ 40.  402.1]
431: [343.  317.7]
432: [412.  379.8]
433: [144.  173.3]
434: [216.  169.4]
435: [187.  240.4]
436: [353.  149.7]
437: [208.  175.4]
438: [126.  186.2]
439: [  6. 297.]
440: [304.  478.6]
441: [209.  127.4]
442: [225.  362.4]
443: [290.    2.6]
444: [503. 341.]
445: [377.   93.7]
446: [140.   72.3]
447: [365.  108.7]
448: [147.  155.3]
449: [141.  229.3]
450: [ 23. 299.]
451: [482.  344.9]
452: [ 45.  159.1]
453: [477.  199.9]
454: [399.  430.8]
455: [461.  163.9]
456: [511. 437.]
457: [442.  465.9]
458: [58.  59.1]
459: [423.  390.8]
460: [385.  499.8]
461: [475.    0.9]
462: [ 2. 80.]
463: [433.  398.8]
464: [341.   38.7]
465: [ 33.  117.1]
466: [ 32.  148.1]
467: [61.  70.1]
468: [ 21. 149.]
469: [418.  448.8]
470: [507. 455.]
471: [ 12. 162.]
472: [424.  347.8]
473: [469.  128.9]
474: [487. 481.]
475: [419.  461.8]
476: [83.  71.2]
477: [162.  216.3]
478: [ 91.  136.2]
479: [  6. 169.]
480: [483.  404.9]
481: [382.  367.7]
482: [478.  188.9]
483: [496. 454.]
484: [400.  380.8]
485: [507. 110.]
486: [36.  37.1]
487: [490. 191.]
488: [365.   46.7]
489: [365.  501.7]
490: [499.   3.]
491: [489.  37.]
492: [375.  492.7]
493: [485.   44.9]
494: [482.   12.9]
495: [461.   40.9]
496: [22. 87.]
497: [13. 49.]
498: [392.   72.8]
499: [87.  62.2]
500: [445.  140.9]
501: [406.  486.8]
502: [66.  35.1]
503: [497. 392.]
504: [496. 181.]
505: [367.  388.7]
506: [410.  329.8]
507: [355.  412.7]
508: [ 30.  171.1]
509: [463.  390.9]
510: [99.  62.2]
511: [156.  168.3]
512: [299.   99.6]
513: [418.  214.8]
514: [501. 438.]
515: [141.  199.3]
516: [339.   87.7]
517: [  5. 288.]
518: [503. 446.]
519: [  3. 207.]
520: [ 39.  204.1]
521: [419.  483.8]
522: [12. 96.]
523: [105.   73.2]
524: [437.  364.9]
525: [389.   92.8]
526: [ 35.  506.1]
527: [136.  104.3]
528: [464.  150.9]
529: [320.  371.6]
530: [469.  182.9]
531: [509. 426.]
532: [176.  146.3]
533: [412.  196.8]
534: [319.  480.6]
535: [336.  114.7]
536: [ 47.  390.1]
537: [85.  99.2]
538: [173.  160.3]
539: [ 23. 383.]
540: [ 45.  322.1]
541: [142.   62.3]
542: [180.  167.4]
543: [422.  181.8]
544: [480.  243.9]
545: [425.  280.8]
546: [447.  317.9]
547: [164.  255.3]
548: [ 31.  220.1]
549: [ 30.  420.1]
550: [ 34.  138.1]
551: [69.  80.1]
552: [ 42.  189.1]
553: [87.  80.2]
554: [ 55.  210.1]
555: [160.  109.3]
556: [ 49.  198.1]
557: [145.  132.3]
558: [ 22. 427.]
559: [ 13. 417.]
560: [42.  94.1]
561: [126.   50.2]
562: [470.  403.9]
563: [385.  354.8]
564: [473.  412.9]
565: [370.  450.7]
566: [ 20. 418.]
567: [ 26.  412.1]
568: [469.  319.9]
569: [ 39.  315.1]
570: [411.  365.8]
571: [ 60.  118.1]
572: [505. 198.]
573: [363.   94.7]
574: [ 15. 442.]
575: [349.  488.7]
576: [ 53.  157.1]
577: [378.   41.7]
578: [73.  67.1]
579: [360.  484.7]
580: [508.  33.]
581: [16.  5.]
582: [468.  244.9]
583: [340.  495.7]
584: [492. 440.]
585: [330.   31.6]
586: [445.  407.9]
587: [342.  477.7]
588: [385.  430.8]
589: [333.  440.7]
590: [443.  165.9]
591: [473.  171.9]
592: [454.  449.9]
593: [507. 133.]
594: [364.   33.7]
595: [491. 492.]
596: [365.  425.7]
597: [470.  141.9]
598: [ 23. 400.]
599: [ 15. 139.]
600: [  6. 419.]
601: [427.  369.8]
602: [339.  506.7]
603: [349.   63.7]
604: [377.  421.7]
605: [492.  59.]
606: [  1. 460.]
607: [509. 168.]
608: [417.  411.8]
609: [60.  81.1]
610: [486.  231.9]
611: [ 59.  164.1]
612: [504. 499.]
613: [54.  34.1]
614: [392.  440.8]
615: [108.   61.2]
616: [384.  380.8]
617: [375.  436.7]
618: [ 57.  129.1]
619: [389.   60.8]
620: [403.  448.8]
621: [505. 486.]
622: [33.  21.1]
623: [478.   29.9]
624: [37.   7.1]
625: [330.  487.6]
626: [  4. 499.]
627: [411.  474.8]
628: [486.  469.9]
629: [510. 473.]
630: [5. 3.]
631: [445.  124.9]
632: [ 14. 495.]
633: [415.  285.8]
634: [399.  343.8]
635: [480.  433.9]
636: [ 18. 408.]
637: [381.  393.7]
638: [26.  44.1]
639: [450.  458.9]
640: [504. 418.]
641: [506. 396.]
642: [402.   90.8]
643: [  4. 427.]
644: [507. 185.]
645: [ 41.  150.1]
646: [410.  394.8]
647: [434.  352.8]
648: [508.  18.]
649: [461.  458.9]
650: [399.  305.8]
651: [ 22. 265.]
652: [339.  338.7]
653: [502. 350.]
654: [350.  384.7]
655: [297.  429.6]
656: [486.  413.9]
657: [133.   87.3]
658: [412.  174.8]
659: [ 63.  348.1]
660: [ 51.  382.1]
661: [111.   80.2]
662: [415.  317.8]
663: [449.  417.9]
664: [404.   74.8]
665: [465.  449.9]
666: [504. 290.]
667: [447.  365.9]
668: [382.  409.7]
669: [ 2. 53.]
670: [ 68.  125.1]
671: [432.  464.8]
672: [335.   12.7]
673: [392.  420.8]
674: [341.  422.7]
675: [445.  430.9]
676: [332.  468.6]
677: [405.   56.8]
678: [448.  475.9]
679: [434.  410.8]
680: [373.  132.7]
681: [462.  222.9]
682: [374.  328.7]
683: [475.  441.9]
684: [343.  435.7]
685: [318.  412.6]
686: [358.   12.7]
687: [446.  346.9]
688: [498. 146.]
689: [369.   16.7]
690: [475.  473.9]
691: [436.  436.9]
692: [  1. 403.]
693: [466.  208.9]
694: [398.  210.8]
695: [321.  442.6]
696: [436.  338.9]
697: [398.  355.8]
698: [476.  156.9]
699: [420.  359.8]
700: [325.  389.6]
701: [310.   92.6]
702: [ 72.  290.1]
703: [356.  324.7]
704: [327.  426.6]
705: [384.  478.8]
706: [334.  377.7]
707: [ 45.  292.1]
708: [ 82.  383.2]
709: [196.  319.4]
710: [180.  194.4]
711: [393.  270.8]
712: [410.  184.8]
713: [388.  148.8]
714: [449.  245.9]
715: [286.  341.6]
716: [288.  415.6]
717: [ 14. 284.]
718: [ 30.  377.1]
719: [ 65.  338.1]
720: [184.  156.4]
721: [ 74.  379.1]
722: [142.  369.3]
723: [329.  179.6]
724: [375.  298.7]
725: [332.   53.6]
726: [413.  237.8]
727: [ 57.  333.1]
728: [180.  137.4]
729: [ 69.  330.1]
730: [341.  167.7]
731: [312.  360.6]
732: [503. 383.]
733: [201.  152.4]
734: [ 23. 282.]
735: [ 91.  110.2]
736: [172.  243.3]
737: [153.  262.3]
738: [428.  190.8]
739: [325.  357.6]
740: [364.  360.7]
741: [314.  423.6]
742: [465.  360.9]
743: [188.  189.4]
744: [ 74.  300.1]
745: [ 37.  375.1]
746: [459.  234.9]
747: [435.  251.8]
748: [327.    3.6]
749: [  9. 383.]
750: [422.  294.8]
751: [351.   47.7]
752: [411.  430.8]
753: [55.  47.1]
754: [ 37.  127.1]
755: [411.  347.8]
756: [172.  188.3]
757: [ 41.  383.1]
758: [298.  112.6]
759: [ 42.  367.1]
760: [394.  109.8]
761: [413.  302.8]
762: [ 52.  148.1]
763: [378.  276.7]
764: [301.  347.6]
765: [ 49.  361.1]
766: [121.   88.2]
767: [ 57.  310.1]
768: [431.  130.8]
769: [ 77.  131.2]
770: [406.  418.8]
771: [ 56.  353.1]
772: [303.  412.6]
773: [313.  399.6]
774: [ 14. 400.]
775: [474.  365.9]
776: [ 12. 153.]
777: [396.  409.8]
778: [409.  223.8]
779: [ 67.  310.1]
780: [314.  509.6]
781: [326.  404.6]
782: [  1. 412.]
