0: [ 7. 79.]
1: [379.  251.7]
2: [356.  260.7]
3: [392.  300.8]
4: [395.  306.8]
5: [375.  283.7]
6: [369.  275.7]
7: [385.  316.8]
8: [352.  269.7]
9: [400.  346.8]
10: [397.  319.8]
11: [381.  277.7]
12: [396.  292.8]
13: [371.  290.7]
14: [389.  311.8]
15: [387.  324.8]
16: [402.  301.8]
17: [382.  307.7]
18: [409.  291.8]
19: [403.  311.8]
20: [365.  283.7]
21: [398.  270.8]
22: [383.  358.7]
23: [398.  232.8]
24: [384.  267.8]
25: [397.  328.8]
26: [391.  279.8]
27: [374.  267.7]
28: [402.  335.8]
29: [308.  265.6]
30: [386.  238.8]
31: [357.  275.7]
32: [413.  272.8]
33: [368.  243.7]
34: [408.  341.8]
35: [421.  304.8]
36: [436.  288.9]
37: [423.  291.8]
38: [357.  284.7]
39: [331.  238.6]
40: [345.  263.7]
41: [377.  243.7]
42: [365.  262.7]
43: [339.  243.7]
44: [348.  239.7]
45: [381.  349.7]
46: [343.  275.7]
47: [416.  337.8]
48: [353.  231.7]
49: [428.  281.8]
50: [500. 308.]
51: [261.  277.5]
52: [406.  351.8]
53: [360.  238.7]
54: [327.  246.6]
55: [395.  243.8]
56: [439.  298.9]
57: [303.  256.6]
58: [326.  257.6]
59: [388.  256.8]
60: [419.  315.8]
61: [385.  333.8]
62: [393.  350.8]
63: [333.  267.7]
64: [392.  220.8]
65: [424.  246.8]
66: [338.  254.7]
67: [433.  310.8]
68: [368.  254.7]
69: [410.  317.8]
70: [411.  328.8]
71: [295.  253.6]
72: [450.  299.9]
73: [427.  268.8]
74: [427.  327.8]
75: [392.  338.8]
76: [318.  249.6]
77: [313.  257.6]
78: [352.  249.7]
79: [401.  258.8]
80: [383.  291.7]
81: [409.  398.8]
82: [424.  417.8]
83: [470.  292.9]
84: [402.  435.8]
85: [378.  117.7]
86: [429.  157.8]
87: [283.  286.6]
88: [423.  386.8]
89: [331.  131.6]
90: [235.  249.5]
91: [238.  168.5]
92: [222.  239.4]
93: [470.  468.9]
94: [ 42.  381.1]
95: [390.  411.8]
96: [293.  232.6]
97: [321.  226.6]
98: [465.  304.9]
99: [336.  376.7]
100: [342.  320.7]
101: [284.  226.6]
102: [230.  321.4]
103: [378.  339.7]
104: [340.  330.7]
105: [352.  292.7]
106: [234.  288.5]
107: [232.  159.5]
108: [277.  233.5]
109: [140.  297.3]
110: [239.  158.5]
111: [429.  362.8]
112: [478.  433.9]
113: [487. 130.]
114: [295.   58.6]
115: [126.  333.2]
116: [509. 491.]
117: [270.  292.5]
118: [ 54.  350.1]
119: [421.  376.8]
120: [338.   31.7]
121: [12. 10.]
122: [320.  205.6]
123: [482.  322.9]
124: [123.  315.2]
125: [459.  441.9]
126: [251.  230.5]
127: [424.   11.8]
128: [469.   52.9]
129: [247.  171.5]
130: [424.  439.8]
131: [221.  285.4]
132: [ 11. 456.]
133: [292.  156.6]
134: [375.  466.7]
135: [442.  469.9]
136: [307.  219.6]
137: [350.  340.7]
138: [335.  298.7]
139: [312.  331.6]
140: [327.  276.6]
141: [273.  222.5]
142: [153.   21.3]
143: [  4. 308.]
144: [262.  326.5]
145: [437.  437.9]
146: [147.  288.3]
147: [ 61.  335.1]
148: [372.   30.7]
149: [206.  262.4]
150: [140.  308.3]
151: [317.  115.6]
152: [455.  456.9]
153: [264.  244.5]
154: [384.  449.8]
155: [511. 170.]
156: [139.  245.3]
157: [ 79.  303.2]
158: [254.  177.5]
159: [ 46.  271.1]
160: [418.   49.8]
161: [417.  472.8]
162: [177.  225.3]
163: [ 23. 119.]
164: [273.   63.5]
165: [176.  178.3]
166: [479.    6.9]
167: [319.  123.6]
168: [256.  246.5]
169: [153.  192.3]
170: [305.  495.6]
171: [204.  239.4]
172: [ 89.  506.2]
173: [226.  274.4]
174: [198.  237.4]
175: [408.   25.8]
