0: [447.  476.9]
1: [241.  203.5]
2: [259.  218.5]
3: [213.  260.4]
4: [205.  270.4]
5: [235.  245.5]
6: [242.  235.5]
7: [217.  281.4]
8: [262.  230.5]
9: [193.  318.4]
10: [196.  283.4]
11: [229.  236.4]
12: [208.  248.4]
13: [240.  254.5]
14: [213.  273.4]
15: [207.  289.4]
16: [196.  260.4]
17: [222.  271.4]
18: [190.  247.4]
19: [193.  273.4]
20: [247.  246.5]
21: [214.  219.4]
22: [205.  337.4]
23: [230.  176.4]
24: [229.  218.4]
25: [202.  298.4]
26: [216.  232.4]
27: [238.  223.5]
28: [196.  307.4]
29: [305.  247.6]
30: [239.  188.5]
31: [257.  239.5]
32: [198.  215.4]
33: [272.  204.5]
34: [180.  303.4]
35: [181.  289.4]
36: [174.  226.3]
37: [188.  230.4]
38: [258.  248.5]
39: [301.  215.6]
40: [275.  228.5]
41: [250.  197.5]
42: [250.  223.5]
43: [292.  215.6]
44: [286.  206.6]
45: [212.  329.4]
46: [269.  238.5]
47: [190.  301.4]
48: [295.  200.6]
49: [170.  241.3]
50: [227.  149.4]
51: [377.  240.7]
52: [184.  317.4]
53: [282.  197.6]
54: [299.  223.6]
55: [228.  187.4]
56: [161.  224.3]
57: [312.  241.6]
58: [295.  231.6]
59: [228.  204.4]
60: [180.  277.4]
61: [216.  315.4]
62: [200.  324.4]
63: [286.  238.6]
64: [245.  170.5]
65: [233.  163.5]
66: [285.  223.6]
67: [169.  296.3]
68: [248.  215.5]
69: [223.  292.4]
70: [222.  303.4]
71: [318.  246.6]
72: [152.  304.3]
73: [182.  210.4]
74: [169.  311.3]
75: [208.  311.4]
76: [307.  229.6]
77: [304.  237.6]
78: [272.  216.5]
79: [212.  206.4]
80: [226.  253.4]
81: [207.  397.4]
82: [207.  422.4]
83: [132.  315.3]
84: [230.  437.4]
85: [109.  452.2]
86: [129.  140.3]
87: [328.  238.6]
88: [197.  394.4]
89: [124.  233.2]
90: [396.  259.8]
91: [475.  216.9]
92: [410.  266.8]
93: [262.   47.5]
94: [214.  151.4]
95: [228.  414.4]
96: [357.  221.7]
97: [336.  199.7]
98: [144.  312.3]
99: [240.  361.5]
100: [272.  295.5]
101: [360.  214.7]
102: [340.  256.7]
103: [223.  322.4]
104: [266.  306.5]
105: [263.  258.5]
106: [367.  263.7]
107: [491. 220.]
108: [386.  227.8]
109: [503. 254.]
110: [484.  212.9]
111: [182.  357.4]
112: [173.  448.3]
113: [ 1. 38.]
114: [402.   16.8]
115: [510. 192.]
116: [163.  477.3]
117: [332.  227.6]
118: [133.  200.3]
119: [194.  369.4]
120: [336.   14.7]
121: [163.   54.3]
122: [351.  177.7]
123: [133.  345.3]
124: [503. 222.]
125: [191.  473.4]
126: [402.  227.8]
127: [305.   37.6]
128: [430.   11.8]
129: [469.  206.9]
130: [210.  438.4]
131: [379.  281.7]
132: [141.  485.3]
133: [389.  154.8]
134: [257.  475.5]
135: [202.  506.4]
136: [340.  208.7]
137: [174.  264.3]
138: [283.  274.6]
139: [211.  193.4]
140: [280.  248.5]
141: [394.  216.8]
142: [ 63.  448.1]
143: [151.  193.3]
144: [331.  300.6]
145: [204.  462.4]
146: [492. 261.]
147: [ 87.  206.2]
148: [294.   39.6]
149: [404.  291.8]
150: [  1. 255.]
151: [152.  147.3]
152: [200.  492.4]
153: [415.  227.8]
154: [234.  447.5]
155: [ 44.  488.1]
156: [470.  350.9]
157: [  6. 181.]
158: [461.  202.9]
159: [ 11. 149.]
160: [222.   67.4]
161: [226.  492.4]
162: [437.  319.9]
163: [475.  477.9]
164: [423.   32.8]
165: [496. 309.]
166: [202.   48.4]
167: [147.  163.3]
168: [415.  242.8]
169: [468.  332.9]
170: [316.  468.6]
171: [421.  279.8]
172: [125.   95.2]
173: [387.  276.8]
174: [422.  284.8]
175: [244.   43.5]
176: [ 66.  411.1]
177: [441.  302.9]
178: [188.  503.4]
179: [445.  258.9]
180: [ 77.  146.2]
181: [ 23. 142.]
182: [ 11. 196.]
183: [264.  480.5]
184: [494.  22.]
185: [118.  193.2]
186: [212.  487.4]
187: [286.    7.6]
188: [111.  412.2]
189: [ 71.  131.1]
190: [511. 336.]
191: [381.   18.7]
192: [302.   91.6]
193: [ 31.  140.1]
194: [178.  403.3]
195: [108.  493.2]
196: [243.  501.5]
197: [439.  295.9]
198: [464.  324.9]
199: [476.  199.9]
200: [411.  186.8]
201: [301.  384.6]
202: [145.  143.3]
203: [401.  149.8]
204: [504. 312.]
205: [357.   18.7]
206: [421.  218.8]
207: [ 27.  258.1]
208: [505. 212.]
209: [148.  456.3]
210: [287.  368.6]
211: [  8. 280.]
212: [ 29.  343.1]
213: [132.  477.3]
214: [281.  336.5]
215: [429.  277.8]
216: [239.  480.5]
217: [405.  258.8]
218: [483.  299.9]
219: [488. 487.]
220: [ 12. 173.]
221: [374.  312.7]
222: [ 22. 451.]
223: [294.  502.6]
224: [378.   58.7]
225: [459.  344.9]
226: [ 17. 391.]
227: [503. 264.]
228: [408.  233.8]
229: [377.   68.7]
230: [369.  126.7]
231: [150.  507.3]
232: [343.   30.7]
233: [34.  90.1]
234: [282.  411.6]
235: [300.  489.6]
236: [459.  283.9]
237: [ 61.  498.1]
238: [239.    6.5]
239: [502. 492.]
240: [469.   66.9]
241: [245.   23.5]
242: [265.  449.5]
243: [410.  209.8]
244: [122.  490.2]
245: [285.  356.6]
246: [248.    7.5]
247: [331.  161.6]
248: [328.  288.6]
249: [382.  290.7]
250: [ 29.  383.1]
251: [380.   46.7]
252: [ 32.  407.1]
253: [507. 505.]
254: [510. 448.]
255: [369.   63.7]
256: [441.  288.9]
257: [363.   67.7]
258: [294.   67.6]
259: [202.    4.4]
260: [ 28.  418.1]
261: [436.   79.9]
262: [ 78.  282.2]
263: [ 62.  140.1]
264: [442.  202.9]
265: [473.  300.9]
266: [ 33.  399.1]
267: [498. 472.]
268: [348.  496.7]
269: [493. 300.]
270: [457.   76.9]
271: [486.  263.9]
272: [378.  299.7]
273: [460.  314.9]
274: [411.   38.8]
275: [472.  363.9]
276: [  9. 355.]
277: [223.   18.4]
278: [451.  318.9]
279: [226.   28.4]
280: [127.   30.2]
281: [460.  305.9]
282: [421.   45.8]
283: [ 24. 272.]
284: [409.  300.8]
285: [160.  504.3]
286: [243.   16.5]
287: [448.  194.9]
288: [443.   67.9]
289: [309.  443.6]
290: [425.  269.8]
291: [389.  304.8]
292: [153.   35.3]
293: [ 29.  316.1]
294: [214.  456.4]
295: [259.   27.5]
296: [307.  338.6]
297: [436.  163.9]
298: [ 42.  145.1]
299: [ 29.  240.1]
300: [495. 166.]
301: [ 73.  423.1]
302: [295.  430.6]
303: [118.   47.2]
304: [366.  284.7]
305: [232.   46.5]
306: [166.   82.3]
307: [190.  493.4]
308: [439.  228.9]
309: [424.  301.8]
310: [295.  482.6]
311: [253.  497.5]
312: [418.  252.8]
313: [273.   64.5]
314: [389.  187.8]
315: [417.  290.8]
316: [301.  457.6]
317: [486.   40.9]
318: [ 99.  442.2]
319: [ 40.  132.1]
320: [425.  159.8]
321: [ 44.  229.1]
322: [254.  468.5]
323: [306.  453.6]
324: [305.  471.6]
325: [433.  304.8]
326: [ 31.  331.1]
327: [212.   40.4]
328: [128.    2.2]
329: [ 82.  402.2]
330: [ 78.  454.2]
331: [154.   57.3]
332: [199.   67.4]
333: [341.  112.7]
334: [405.  237.8]
335: [466.  273.9]
336: [301.   73.6]
337: [127.   43.2]
338: [363.   47.7]
339: [453.  222.9]
340: [374.  270.7]
341: [135.  497.3]
342: [255.  460.5]
343: [276.   86.5]
344: [292.  491.6]
345: [ 41.  334.1]
346: [177.  385.3]
347: [ 38.  216.1]
348: [231.  486.5]
349: [374.  110.7]
350: [238.  491.5]
351: [354.  202.7]
352: [228.  105.4]
353: [452.  258.9]
354: [493. 238.]
355: [275.  393.5]
356: [215.  499.4]
357: [247.  509.5]
358: [504.  98.]
359: [493. 345.]
360: [284.  402.6]
361: [236.  501.5]
362: [ 50.  398.1]
363: [414.  279.8]
364: [390.  290.8]
365: [144.    4.3]
366: [371.   54.7]
367: [306.  139.6]
368: [267.  463.5]
369: [206.  454.4]
370: [384.  195.8]
371: [348.  292.7]
372: [  3. 343.]
373: [416.   67.8]
374: [ 13. 136.]
375: [ 65.  152.1]
376: [283.   71.6]
377: [265.  471.5]
378: [388.  130.8]
379: [387.   64.8]
380: [ 15. 382.]
381: [  5. 270.]
382: [ 78.  373.2]
383: [349.  122.7]
384: [314.  324.6]
385: [274.  482.5]
386: [286.  485.6]
387: [ 40.  115.1]
388: [114.  425.2]
389: [ 68.  246.1]
390: [224.  502.4]
391: [  8. 239.]
392: [410.  286.8]
393: [ 61.  485.1]
394: [52.  48.1]
395: [288.  446.6]
396: [449.  214.9]
397: [256.   11.5]
398: [397.  278.8]
399: [ 28.  200.1]
400: [292.   55.6]
401: [ 59.  197.1]
402: [273.  433.5]
403: [248.  479.5]
404: [  5. 208.]
405: [425.  245.8]
406: [426.  256.8]
407: [210.   54.4]
408: [ 89.  397.2]
409: [284.  428.6]
410: [473.  190.9]
411: [440.  249.9]
412: [ 87.  369.2]
413: [269.  401.5]
