0: [360.  187.7]
1: [157.  432.3]
2: [163.  421.3]
3: [195.  437.4]
4: [198.  444.4]
5: [188.  416.4]
6: [180.  410.4]
7: [209.  441.4]
8: [174.  397.3]
9: [203.  479.4]
10: [202.  455.4]
11: [182.  420.4]
12: [187.  440.4]
13: [195.  414.4]
14: [203.  441.4]
15: [209.  452.4]
16: [190.  448.4]
17: [205.  433.4]
18: [178.  450.3]
19: [196.  454.4]
20: [189.  407.4]
21: [172.  441.3]
22: [223.  485.4]
23: [153.  464.3]
24: [168.  429.3]
25: [207.  461.4]
26: [179.  432.3]
27: [173.  422.3]
28: [204.  470.4]
29: [143.  367.3]
30: [142.  445.3]
31: [181.  399.4]
32: [161.  460.3]
33: [148.  431.3]
34: [195.  475.4]
35: [187.  469.4]
36: [163.  470.3]
37: [172.  459.3]
38: [189.  397.4]
39: [131.  412.3]
40: [165.  396.3]
41: [150.  439.3]
42: [171.  407.3]
43: [139.  414.3]
44: [133.  423.3]
45: [222.  477.4]
46: [175.  387.3]
47: [198.  467.4]
48: [128.  437.2]
49: [168.  466.3]
50: [108.   43.2]
51: [120.  407.2]
52: [199.  484.4]
53: [138.  432.3]
54: [138.  403.3]
55: [135.  450.3]
56: [166.  477.3]
57: [134.  372.3]
58: [146.  394.3]
59: [163.  438.3]
60: [189.  461.4]
61: [221.  463.4]
62: [211.  479.4]
63: [160.  380.3]
64: [111.  490.2]
65: [125.  493.2]
66: [154.  402.3]
67: [179.  475.3]
68: [165.  412.3]
69: [217.  444.4]
70: [222.  452.4]
71: [126.  377.2]
72: [159.  488.3]
73: [155.  476.3]
74: [187.  481.4]
75: [214.  468.4]
76: [131.  393.3]
77: [141.  382.3]
78: [152.  419.3]
79: [157.  451.3]
80: [192.  426.4]
81: [205.   22.4]
82: [211.   30.4]
83: [123.   21.2]
84: [232.   28.5]
85: [181.  210.4]
86: [245.  230.5]
87: [123.  335.2]
88: [196.   12.4]
89: [ 89.  153.2]
90: [ 96.  413.2]
91: [455.  429.9]
92: [ 39.  368.1]
93: [222.  111.4]
94: [109.  103.2]
95: [231.   17.5]
96: [495. 432.]
97: [214.  347.4]
98: [140.   14.3]
99: [259.  479.5]
100: [235.  412.5]
101: [489. 425.]
102: [103.  343.2]
103: [229.  468.4]
104: [240.  421.5]
105: [199.  390.4]
106: [117.  385.2]
107: [451.  440.9]
108: [488. 415.]
109: [423.  406.8]
110: [465.  439.9]
111: [192.  506.4]
112: [179.   81.3]
113: [325.  202.6]
114: [303.  148.6]
115: [ 25. 248.]
116: [195.  134.4]
117: [124.  322.2]
118: [128.  188.2]
119: [189.    3.4]
120: [318.  102.6]
121: [256.  170.5]
122: [166.  323.3]
123: [130.   32.3]
124: [ 89.  248.2]
125: [201.   79.4]
126: [ 28.  342.1]
127: [254.  110.5]
128: [309.  162.6]
129: [503. 478.]
130: [205.   50.4]
131: [ 78.  383.2]
132: [175.  127.3]
133: [63.  14.1]
134: [286.   24.6]
135: [231.   87.5]
136: [ 85.  283.2]
137: [241.  437.5]
138: [217.  376.4]
139: [144.  457.3]
140: [161.  364.3]
141: [478.  408.9]
142: [288.  248.6]
143: [107.  151.2]
144: [ 92.  469.2]
145: [202.   62.4]
146: [443.  365.9]
147: [220.  310.4]
148: [261.  112.5]
149: [ 60.  394.1]
150: [435.  420.8]
151: [157.  197.3]
152: [206.   71.4]
153: [ 85.  441.2]
154: [247.   48.5]
155: [335.  238.7]
156: [414.  335.8]
157: [265.  337.5]
158: [  1. 482.]
159: [275.  304.5]
160: [243.  152.5]
161: [231.   68.5]
162: [377.  364.7]
163: [368.  214.7]
164: [300.  158.6]
165: [405.  396.8]
166: [239.  143.5]
167: [150.  195.3]
168: [ 82.  433.2]
169: [411.  351.8]
170: [310.   62.6]
171: [ 42.  384.1]
172: [255.  207.5]
173: [ 88.  396.2]
174: [ 38.  386.1]
175: [233.  117.5]
176: [302.  267.6]
177: [  7. 396.]
178: [194.   83.4]
179: [511. 369.]
180: [250.  263.5]
181: [280.  288.5]
182: [102.  237.2]
183: [288.   29.6]
184: [317.  197.6]
185: [170.  264.3]
186: [220.   77.4]
187: [281.   90.5]
188: [412.  500.8]
189: [244.  264.5]
190: [335.  350.7]
191: [286.  137.6]
192: [373.  505.7]
193: [278.  283.5]
194: [167.   35.3]
195: [197.  194.4]
196: [246.   74.5]
197: [ 16. 393.]
198: [401.  352.8]
199: [ 59.  251.1]
200: [ 30.  283.1]
201: [189.   32.4]
202: [158.  203.3]
203: [134.  253.3]
204: [416.  397.8]
205: [287.  117.6]
206: [ 74.  448.1]
207: [296.  371.6]
208: [ 61.  215.1]
209: [172.  112.3]
210: [290.  469.6]
211: [498. 299.]
212: [380.  420.7]
213: [168.  133.3]
214: [275.  443.5]
215: [ 27.  381.1]
216: [252.   67.5]
217: [ 86.  418.2]
218: [465.  335.9]
219: [359.  212.7]
220: [273.  325.5]
221: [ 53.  441.1]
222: [342.  263.7]
223: [284.   76.6]
224: [257.  159.5]
225: [404.  337.8]
226: [334.  295.7]
227: [410.  404.8]
228: [ 23. 352.]
229: [239.  163.5]
230: [453.   12.9]
231: [367.    7.7]
232: [319.  111.6]
233: [278.  242.5]
234: [288.    8.6]
235: [287.   65.6]
236: [ 11. 426.]
237: [283.  228.6]
238: [338.   15.7]
239: [322.  241.6]
240: [398.  168.8]
241: [246.  103.5]
242: [259.   40.5]
243: [496. 457.]
244: [387.  502.8]
245: [280.  462.5]
246: [240.   87.5]
247: [ 55.  143.1]
248: [ 77.  466.2]
249: [ 74.  408.1]
250: [304.  304.6]
251: [269.  149.5]
252: [318.  282.6]
253: [348.  214.7]
254: [362.  264.7]
255: [263.  147.5]
256: [ 11. 388.]
257: [258.  144.5]
258: [251.  137.5]
259: [215.   93.4]
260: [328.  279.6]
261: [419.  135.8]
262: [484.   29.9]
263: [241.  272.5]
264: [ 16. 484.]
265: [411.  376.8]
266: [315.  288.6]
267: [377.  231.7]
268: [326.   91.6]
269: [467.  320.9]
270: [433.  137.8]
271: [455.  353.9]
272: [ 65.  422.1]
273: [399.  365.8]
274: [370.  116.7]
275: [362.  334.7]
276: [329.  325.6]
277: [351.   20.7]
278: [390.  362.8]
279: [345.  509.7]
280: [410.  111.8]
281: [387.  376.8]
282: [381.  107.7]
283: [400.  416.8]
284: [ 49.  399.1]
285: [182.  115.4]
286: [250.   98.5]
287: [  8. 501.]
288: [385.  154.8]
289: [302.   38.6]
290: [ 53.  428.1]
291: [ 57.  413.1]
292: [407.   73.8]
293: [310.  334.6]
294: [218.   62.4]
295: [234.   99.5]
296: [278.  428.5]
297: [38.  22.1]
298: [269.  281.5]
299: [406.  424.8]
300: [  2. 232.]
301: [234.  260.5]
302: [303.   30.6]
303: [275.  188.5]
304: [ 74.  369.1]
305: [238.  123.5]
306: [232.  188.5]
307: [219.  103.4]
308: [510. 356.]
309: [ 33.  392.1]
310: [291.   59.6]
311: [256.   72.5]
312: [ 81.  425.2]
313: [210.  118.4]
314: [125.  290.2]
315: [ 46.  389.1]
316: [302.   51.6]
317: [323.  190.6]
