0: [469.   87.9]
1: [282.  338.6]
2: [297.  353.6]
3: [302.  220.6]
4: [297.  211.6]
5: [310.  333.6]
6: [305.  342.6]
7: [283.  221.6]
8: [308.  354.6]
9: [244.  232.5]
10: [293.  199.6]
11: [301.  331.6]
12: [313.  224.6]
13: [319.  333.6]
14: [289.  214.6]
15: [277.  211.5]
16: [313.  211.6]
17: [292.  225.6]
18: [327.  215.6]
19: [305.  201.6]
20: [315.  342.6]
21: [285.  319.6]
22: [243.  211.5]
23: [256.  322.5]
24: [291.  333.6]
25: [271.  225.5]
26: [297.  320.6]
27: [295.  340.6]
28: [260.  232.5]
29: [313.  395.6]
30: [267.  335.5]
31: [314.  351.6]
32: [264.  314.5]
33: [279.  348.5]
34: [289.  186.6]
35: [302.  186.6]
36: [308.  164.6]
37: [313.  179.6]
38: [323.  353.6]
39: [287.  380.6]
40: [303.  362.6]
41: [274.  341.5]
42: [293.  347.6]
43: [285.  372.6]
44: [275.  365.5]
45: [252.  213.5]
46: [313.  361.6]
47: [258.  241.5]
48: [266.  361.5]
49: [316.  170.6]
50: [329.  165.6]
51: [297.  415.6]
52: [247.  239.5]
53: [272.  354.5]
54: [295.  381.6]
55: [262.  329.5]
56: [300.  157.6]
57: [307.  400.6]
58: [303.  379.6]
59: [281.  330.5]
60: [319.  194.6]
61: [266.  212.5]
62: [249.  224.5]
63: [312.  373.6]
64: [234.  338.5]
65: [242.  312.5]
66: [296.  369.6]
67: [297.  172.6]
68: [288.  347.6]
69: [279.  234.5]
70: [270.  243.5]
71: [314.  405.6]
72: [332.  184.6]
73: [314.  153.6]
74: [283.  171.6]
75: [261.  220.5]
76: [300.  390.6]
77: [311.  387.6]
78: [285.  360.6]
79: [272.  323.5]
80: [310.  322.6]
81: [186.  235.4]
82: [164.  243.3]
83: [209.  311.4]
84: [133.  237.3]
85: [371.  167.7]
86: [367.  139.7]
87: [348.  375.7]
88: [204.  246.4]
89: [185.  368.4]
90: [307.  430.6]
91: [248.  414.5]
92: [292.  456.6]
93: [ 25. 318.]
94: [349.  179.7]
95: [169.  224.3]
96: [288.  396.6]
97: [266.  379.5]
98: [215.  285.4]
99: [233.  180.5]
100: [276.  292.5]
101: [278.  402.5]
102: [337.  400.7]
103: [261.  205.5]
104: [262.  288.5]
105: [328.  342.6]
106: [319.  413.6]
107: [236.  417.5]
108: [283.  411.6]
109: [249.    7.5]
110: [240.  410.5]
111: [217.  257.4]
112: [124.  299.2]
113: [431.  111.8]
114: [466.  190.9]
115: [202.  449.4]
116: [ 75.  327.1]
117: [357.  370.7]
118: [151.  399.3]
119: [211.  240.4]
120: [499. 259.]
121: [421.  199.8]
122: [230.  385.4]
123: [202.  305.4]
124: [207.  469.4]
125: [ 71.  291.1]
126: [272.  436.5]
127: [493. 278.]
128: [ 21. 107.]
129: [232.  441.5]
130: [146.  250.3]
131: [329.  444.6]
132: [ 69.  357.1]
133: [393.  344.8]
134: [102.  217.2]
135: [ 59.  271.1]
136: [270.  388.5]
137: [324.  235.6]
138: [326.  323.6]
139: [261.  302.5]
140: [322.  368.6]
141: [271.  411.5]
142: [ 38.  464.1]
143: [332.  141.6]
144: [369.  364.7]
145: [110.  266.2]
146: [255.  508.5]
147: [130.  438.3]
148: [491. 292.]
149: [313.  464.6]
150: [217.  484.4]
151: [120.  388.2]
152: [ 70.  282.1]
153: [277.  428.5]
154: [122.  231.2]
155: [87.  44.2]
156: [288.   31.6]
157: [154.  494.3]
158: [228.  447.4]
159: [116.  477.2]
160: [500. 360.]
161: [ 76.  250.1]
162: [292.  502.6]
163: [443.   65.9]
164: [ 49.  104.1]
165: [244.  501.5]
166: [467.  308.9]
167: [130.  390.3]
168: [282.  435.6]
169: [281.   17.5]
170: [ 97.  148.2]
171: [292.  474.6]
172: [398.  147.8]
173: [319.  440.6]
174: [293.  479.6]
175: [ 13. 329.]
176: [ 77.  462.2]
177: [282.  484.6]
178: [ 61.  297.1]
179: [268.  463.5]
180: [352.  107.7]
181: [311.   98.6]
182: [191.  463.4]
183: [ 61.  177.1]
184: [444.  115.9]
185: [312.  124.6]
186: [ 79.  269.2]
187: [ 44.  223.1]
188: [424.  332.8]
189: [360.  100.7]
190: [357.   27.7]
191: [469.  207.9]
192: [454.  322.9]
193: [316.  100.6]
194: [173.  273.3]
195: [445.  344.9]
196: [ 68.  241.1]
197: [335.  497.7]
198: [273.    7.5]
199: [233.  427.5]
200: [384.  370.8]
201: [145.  268.3]
202: [113.  393.2]
203: [195.  415.4]
204: [243.  511.5]
205: [479.  242.9]
206: [374.  415.7]
207: [196.  509.4]
208: [208.  461.4]
209: [ 83.  345.2]
210: [215.  150.4]
211: [220.    0.4]
212: [378.   33.7]
213: [ 80.  365.2]
214: [258.  169.5]
215: [347.  473.7]
216: [ 86.  225.2]
217: [298.  441.6]
218: [371.    1.7]
219: [442.   76.9]
220: [145.  487.3]
221: [371.  448.7]
222: [ 66.  494.1]
223: [ 53.  175.1]
224: [490. 365.]
225: [294.   24.6]
226: [391.   47.8]
227: [225.  494.4]
228: [275.  441.5]
229: [417.  227.8]
230: [413.  334.8]
231: [443.  288.9]
232: [ 81.  124.2]
233: [385.   93.8]
234: [177.  173.3]
235: [ 91.  171.2]
236: [349.  493.7]
237: [ 22. 453.]
238: [ 37.  242.1]
239: [54.  32.1]
240: [55.  77.1]
241: [ 31.  285.1]
242: [127.  208.2]
243: [262.  407.5]
244: [446.  328.9]
245: [225.  156.4]
246: [ 49.  242.1]
247: [228.  355.4]
248: [360.  387.7]
249: [331.  453.6]
250: [366.   51.7]
251: [441.  217.9]
252: [125.   19.2]
253: [433.   83.8]
254: [409.   49.8]
255: [436.  228.9]
256: [339.  492.7]
257: [430.  236.8]
258: [481.  324.9]
259: [ 51.  293.1]
260: [414.   39.8]
261: [497. 419.]
262: [186.  427.4]
263: [359.   89.7]
264: [390.  408.8]
265: [355.  509.7]
266: [130.   13.3]
267: [ 39.  505.1]
268: [ 85.  133.2]
269: [380.  509.7]
270: [99.  74.2]
271: [252.  495.5]
272: [342.  457.7]
273: [271.  507.5]
274: [ 93.  107.2]
275: [291.   48.6]
276: [254.   51.5]
277: [ 32.  266.1]
278: [282.  506.6]
279: [470.  272.9]
280: [509. 396.]
281: [343.    0.7]
282: [95.  98.2]
283: [222.   11.4]
284: [312.  480.6]
285: [ 54.  340.1]
286: [ 25. 276.]
287: [401.  403.8]
288: [106.   85.2]
289: [108.  167.2]
290: [347.  463.7]
291: [333.  467.7]
292: [468.  348.9]
293: [222.   32.4]
294: [120.  261.2]
295: [ 25. 298.]
296: [352.  257.7]
297: [414.  383.8]
298: [324.   97.6]
299: [183.  498.4]
300: [166.   12.3]
301: [ 73.  450.1]
302: [139.  157.3]
303: [76.  92.1]
304: [347.  441.7]
305: [481.  299.9]
306: [401.  196.8]
307: [ 34.  312.1]
308: [244.  464.5]
309: [297.  487.6]
310: [ 82.  169.2]
311: [ 77.  225.2]
312: [291.  442.6]
313: [ 29.  336.1]
314: [383.  360.7]
315: [303.  475.6]
316: [115.  171.2]
317: [35.  75.1]
318: [ 48.  426.1]
319: [335.   95.7]
320: [402.  372.8]
321: [163.  487.3]
322: [113.  219.2]
323: [125.  173.2]
324: [ 97.  162.2]
325: [289.  488.6]
326: [224.   48.4]
327: [469.  296.9]
328: [393.  236.8]
329: [105.  429.2]
330: [ 49.  447.1]
331: [426.  184.8]
332: [460.  335.9]
333: [412.  308.8]
334: [277.  445.5]
335: [360.  497.7]
336: [474.  319.9]
337: [ 69.  100.1]
338: [ 71.  119.1]
339: [245.  454.5]
340: [328.  431.6]
341: [438.  309.9]
342: [111.  212.2]
343: [ 60.  350.1]
344: [ 77.  186.2]
345: [250.   60.5]
346: [159.  284.3]
347: [169.  482.3]
348: [ 82.  245.2]
349: [430.  359.8]
350: [ 77.  236.2]
351: [258.  398.5]
352: [ 80.  382.2]
353: [266.  472.5]
354: [242.  435.5]
355: [185.  165.4]
356: [ 67.  268.1]
357: [ 60.  237.1]
358: [505. 493.]
359: [263.   29.5]
360: [175.  166.3]
361: [ 65.  246.1]
362: [149.   28.3]
363: [297.  469.6]
364: [325.  457.6]
365: [434.  292.8]
366: [493. 353.]
367: [389.  311.8]
368: [102.  208.2]
369: [131.  266.3]
370: [375.  357.7]
371: [361.  418.7]
372: [355.   33.7]
373: [487. 389.]
374: [100.  478.2]
375: [332.  107.6]
376: [ 26.  348.1]
377: [ 68.  176.1]
378: [419.  362.8]
379: [424.  220.8]
380: [356.   55.7]
381: [218.  503.4]
382: [116.  432.2]
383: [417.  325.8]
384: [340.  286.7]
385: [ 97.  202.2]
386: [ 77.  177.2]
387: [377.   79.7]
388: [431.  323.8]
389: [171.  448.3]
390: [ 70.  258.1]
391: [203.  490.4]
392: [306.  468.6]
393: [  0. 461.]
394: [420.  110.8]
395: [140.  175.3]
396: [228.  467.4]
397: [ 48.  233.1]
398: [311.  449.6]
399: [175.  468.3]
400: [495. 326.]
401: [273.   96.5]
402: [153.  186.3]
403: [100.  229.2]
404: [192.  473.4]
405: [286.  449.6]
406: [283.  460.6]
407: [477.  337.9]
408: [ 99.  422.2]
409: [155.  168.3]
410: [218.  461.4]
411: [278.  475.5]
412: [125.  426.2]
413: [176.  213.3]
414: [233.  405.5]
415: [148.  218.3]
416: [155.  264.3]
417: [196.  230.4]
418: [ 86.  234.2]
419: [212.  454.4]
420: [212.  494.4]
421: [369.  473.7]
422: [156.  482.3]
