0: [ 28.  273.1]
1: [131.    0.3]
2: [152.    0.3]
3: [173.  454.3]
4: [189.  444.4]
5: [173.  467.3]
6: [166.  481.3]
7: [173.  444.3]
8: [173.  487.3]
9: [158.  419.3]
10: [191.  432.4]
11: [160.  470.3]
12: [166.  460.3]
13: [180.  459.4]
14: [181.  447.4]
15: [182.  437.4]
16: [197.  437.4]
17: [187.  452.4]
18: [153.  456.3]
19: [166.  448.3]
20: [175.  474.3]
21: [132.  477.3]
22: [178.  420.3]
23: [139.   28.3]
24: [140.  482.3]
25: [175.  428.3]
26: [144.  471.3]
27: [156.  477.3]
28: [170.  434.3]
29: [237.  478.5]
30: [143.   12.3]
31: [180.  479.4]
32: [125.  469.2]
33: [155.    7.3]
34: [153.  435.3]
35: [156.  444.3]
36: [131.  451.3]
37: [139.  457.3]
38: [183.  468.4]
39: [211.    0.4]
40: [176.    0.3]
41: [143.    0.3]
42: [160.  488.3]
43: [199.    0.4]
44: [161.    4.3]
45: [184.  422.4]
46: [185.  487.4]
47: [160.  428.3]
48: [189.    0.4]
49: [134.  464.3]
50: [320.  259.6]
51: [349.  420.7]
52: [151.  423.3]
53: [167.   13.3]
54: [208.  496.4]
55: [135.    2.3]
56: [116.  447.2]
57: [239.  490.5]
58: [218.  486.4]
59: [128.  490.2]
60: [163.  437.3]
61: [198.  419.4]
62: [169.  419.3]
63: [205.  482.4]
64: [154.   22.3]
65: [107.  472.2]
66: [199.  490.4]
67: [147.  445.3]
68: [150.  489.3]
69: [207.  437.4]
70: [213.  430.4]
71: [250.  496.5]
72: [106.  436.2]
73: [124.  455.2]
74: [133.  439.3]
75: [203.  426.4]
76: [217.    0.4]
77: [229.  489.4]
78: [162.    0.3]
79: [117.  480.2]
80: [149.  463.3]
81: [134.  392.3]
82: [153.  392.3]
83: [ 94.  430.2]
84: [179.  380.3]
85: [314.  121.6]
86: [ 21. 120.]
87: [333.  401.7]
88: [129.  401.3]
89: [343.  267.7]
90: [375.  423.7]
91: [362.  337.7]
92: [396.  420.8]
93: [228.  172.4]
94: [336.  190.7]
95: [176.  395.3]
96: [345.  402.7]
97: [229.   13.4]
98: [102.  420.2]
99: [249.  402.5]
100: [224.  447.4]
101: [361.  384.7]
102: [311.  448.6]
103: [211.  420.4]
104: [243.  435.5]
105: [198.  466.4]
106: [323.  445.6]
107: [366.  324.7]
108: [357.  394.7]
109: [410.  330.8]
110: [353.  328.7]
111: [124.  418.2]
112: [264.  226.5]
113: [ 11. 219.]
114: [ 84.  234.2]
115: [384.   71.8]
116: [267.  168.5]
117: [245.    0.5]
118: [344.  156.7]
119: [275.  357.5]
120: [143.  254.3]
121: [131.  104.3]
122: [218.   18.4]
123: [292.  270.6]
124: [402.  310.8]
125: [237.  224.5]
126: [379.  394.7]
127: [173.  195.3]
128: [ 62.  251.1]
129: [444.   33.9]
130: [135.  369.3]
131: [380.  471.7]
132: [289.  174.6]
133: [251.   50.5]
